--- Sheet: OUTPUT ---
,,,ESTIMATING DATA,,,,,
,,,GROUND WORKS,,,,,
A. SITE CLEARANCE,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,
B. EXCAVATIONS,,,,,,,,
"1, Normal pickable ground",,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,
"2, Hard pickable ground",,,,,,,,
"    As above, but +250%",,,,,1 Lab,, 0.40 ,
"3, Rock excavation",,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,
C. DISPOSALS,,,,,,,,
    ,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,
d) Compacting,,,,,1 Lab,,35m2/day,
e) Load for disposal,,,,,1 Lab,,1.5m3/day,
,,,BRICKWORK AND BLOCKWORK,,,,,
 NB,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,
All data based on gang of 1 Bricklayer + 2 Assistants,,,,,,,,
Scaffolding not included,,,,,,,,
BRICKWORK,,,,,,,,
Common brickwork:,,,,,,,,
"In foundations, ",,,,,,,,
,,,Half brick thick,,,,375/day,
,,,One brick thick,,,,400/day,
,,,One and half brick thick,,,,425/day,
"In superstructure up to 2 storeys,",,,,,,,,
,,,Half brick thick,,,,350/day,
,,,One brick thick,,,,380/day,
,,,One and half brick thick,,,,400/day,
,,,ESTIMATING DATA,,,,,
,,,BRICKWORK AND BLOCKWORK,,,,,
Facing brickwork:,,,,,,,,
"In foundations,",,,,,,,,
,,,Half brick thick,,,,325/day,
,,,One brick thick,,,,340/day,
"In superstructure up to 2 storeys,",,,,,,,,
,,,Half brick thick,,,,300/day,
,,,One brick thick,,,,325/day,
Composite brickwork ( faced on side ),,,,,,,,
"In foundations,",,,,,,,,
,,,One brick thick,,,,350/day,
"In superstructure up to 2 storeys,",,,,,,,,
,,,One brick thick,,,,330/day, 520.00 
Mortar,,,,,,,,
Mixing by hand,,,,,,,8hrs/m3,
,,,BLOCKWORK,,,,,
115mm blockwork:,,,,,,,,
In foundations,,,,,,,180/day,
In superstructure,,,,,,,150/day,
230mm blockwork:,,,,,,,,
In foundations,,,,,,,150/day,
In superstructure,,,,,,,120/day,
,,,SUNDRIES,,,,,
Beam filling,,,,,,,3m/hr/skin,
Rough cutting,,,,,,,2.5hrs/m2,
Cutting pipe chases,,,,,,,1.5hrs/m,
Copings,,,,,,,0.75hrs/m,
Fair cuttings,,,,,,,1hr/m,
Cut small holes,,,,,,,1hr/skin,
Cut large holes,,,,,,,2hrs/skin,
Fix door and window frames,,,,,,,0.8hrs/m2,
Unload and stack,,,,,,,3 lab hrs/1000,
Painting around frames,,,,,,,3hrs/m,
,,,MORTAR MIX (per m3),,,,,
Mix,,,,,Cement (50kg),,Pit Sand (m3),
3;1,,,,,10.6,,1.3,
4;1,,,,,8.9,,1.4,
5;1,,,,,7.5,,1.5,
6;1,,,,,6.5,,1.6,
7;1,,,,,6.2,,1.7,
8;1,,,,,5.4,,1.7,
,Note: Pit sand - Allow 15% bulk factor,,,,,,,
,,,ESTIMATING DATA,,,,,
,,,BRICKWORK ,,,,,
1.Mortar required per m2 of walling:,,,,,,,,
a. 75mm brick on edge ,,,,,,,0.02m3,
b. Half brickwall ,,,,,,,0.028m3,
c. One brickwall,,,,,,,0.06m3,
d. One and half brickwall,,,,,,,0.096m3,
e. 230 x 230mm clay block wall,,,,,,,0.018m3,
f.  230 x 150mm ditto,,,,,,,0.023m3,
2.Brick per m2 of walling (exclude waste),,,,,,Commons,Facings,
a. 75mm brick on edge,,,,,,35,*,
b. Half brickwall,,,,,,52,*,
c. One brickwall,,,,,,104,*,
,,Based on one brickwall,,,,,,
d. English bond,,,,,,26,78,
e. English garden wall bond,,,,,,39,65,
f.  Colonial bond,,,,,,42,62,
g. Flemish bond,,,,,,39,65,
h. Mass brickwork per m3,,,,,,455,*,
3.MORTAR TO BLOCKWORK (per m2 of walling),,,,,,,,
a. Nominal 600 x 300mm - 108mm walls,,,,,,0.017m3,,
b. Nominal 450 x 230mm - 108mm walls,,,,,,0.023m3,,
,,     - 150mm walls,,,,0.031m3,,
,,     - 230mm walls,,,,0.054m3,,
,Hoop irons 24 ggr = 0.6mm = 6.20kg/m3,,,,,,,
,CEMENT MORTAR,,,,,,,
,MIX,Materials per m3,,,,,,
,,Cement,Lime-25kg,Sand m3,,,,
,1;1,22.4,,0.91,,,,
,1;2,10.48,,1.25,,,,
,1;3,10.6,,1.38,,,,
,1;4,8.9,,1.5,,,,
,1;5,7.8,,1.63,,,,
,1;6,6.4,,1.69,,,,
,1;7,5.9,,1.75,,,,
,1;8,5.3,,1.81,,,,
,1;2;9,3.6,,1.38,,,,
,1;2;12,3,,1.5,,,,
,MATERIAL,,,CONCRETE GRADE,,,,
,,10,15,20,25,30,,
,Cement,5,6,7,9.26,10.29,,
,River sand,0.8,0.8,0.74,0.7,0.65,,
,19mm Ag,0.8,0.8,0.77,0.78,0.78,,
,Brick reinforcement per four courses = 2.94m/m2,,,,,,,
,,,ESTIMATING DATA,,,,,
,,,CONCRETING,,,,,
Labour,,,,,,,,
A. Mixing concrete,,,,Hourly output,,,Lab output/hour,
7/5 mixer,,,,1.75m3,,,3/1.7,
10/7 mixer,,,,3.15m3,,,3/1.1,
14/10 mixer,,,,3.85m3,,,3/0.8,
21/14 mixer,,,,5.25m3,,,5/0.9,
B. Transport and Place concrete,,,,,,,,
Mass filling,,,,2hrs/m3,,,,
"Foundations,bases,ground beams",,,,4hrs/m3,,,,
Slabs,,,,6hrs/m3,,,,
Blinding,,,,12hrs/m3,,,,
Columns below ground,,,,8hrs/m3,,,,
Columns not exceeding 4m high,,,,12hrs/m3,,,,
Beams not exceeding 4m high,,,,10hrs/m3,,,,
Suspended slabs ditto,,,,10hrs/m3,,,,
Walls,,,,8hrs/m3,,,,
Isolated small areas,,,,12hrs/m3,,,,
Hours to be adjusted accordingly for high level work,,,,,,,,
Curb concrete,,,,12m2/hr,,,,
Powerfloat finish,,,,2m2/hr,,,,
Steel trowelled,,,,2m2/hr,,,,
Fix expansion joints 150mm wide,,,,5m/hr,,,,
