--- Sheet: cover ---
PRICED BILLS OF QUANTITIES,,,,,,,,
CLASSROOM BLOCK A,,,,,,,,
FOR,,,,,,,,
ALPA COLLEGE,,,,,,,,
STRUCTURAL ENGINEER,,,,,,,,ARCHITECT
,,,,,,,,Harare
Harare,,,,,,,,
,,,,CONTRACTOR,,,,
,,,,Harare,,,,

--- Sheet: Index ---
INDEX,,,,,,,,
A                  - PRICED BILLS OF QUANTITIES,,,,,,,,
B                 -SCHEDULE OF MATERIALS,,,,,,,,
C            - QUOTATIONS,,,,,,,,
D            - BASIC PRICE LIST,,,,,,,,

--- Sheet: Constants ---
REAL BUILDING CONSTRUCTION,,
TEMPLATE ,,
CONSTANTS ,,
,,%
MARK UP,,1.1

--- Sheet: Take- Off ---
,, Foundations ,,,,,,,,,,,,,,,,,, SUPERSTUCTURE ,,,,,,,
,,, DATA ,,,,,,,,,,,,,,,,, Data ,,,,,,,
,,Lengths, Overall bulding length ," 10,000 ",,mm,,,,,,,,,,,,,, Brickwork Height( D.P.C to Wall plate ," 2,800 ",mm,,Wall plate,,,
,,, Girth External Walls ," 35,080 ",,mm,,,,,,,,,,,,,, Gable end 1 length ," 1,500 ",mm,,,Width,Thickness,
,,, Internal 230 mm walls ," 20,000 ",,mm,,,,,,,,,,,,,, Gable end 2 length ," 2,500 ",mm,,,114,38,mm
,,, Internal 115 mm walls ," 15,000 ",,mm,,,,,,,,,,,,,, Gable end 3 length ," 3,500 ",mm,,,,,
,,, Topsoil thickness , 150 ,,mm,,,,,,,,,,,,,, Gable  end 4 length ," 4,500 ",mm,,,,,
,,Widths, Overall bulding width ," 8,000 ",,mm,,,,,,,,,,,,,, Roof pitch , 22 ,Degrees,,,,,
,,, Foundation width(230 mm walls) , 690 ,,mm,,,,,,,,,,,,,, Parapet wall length ," 8,000 ",,,,,,
,,, Foundation width(115 mm walls) , 560 ,,mm,,,,,,,,,,,,,, Parapet wall  height , 500 ,,,,,,
,,, External walls thickness , 230 ,,mm,,,,,,,,,,,,,,Brickforce After every ,4,th course,,,,,
,,, Internal walls thickness , 230 ,,mm,,,,,,,,,,,,,,,,,,,,,
,,, Internal walls thickness , 115 ,,mm,,,,,,,,,,,,,,,,,,,,,
,, Heigths/Depths/Thickness , Footings uder 230 mm walls , 230 ,,mm,,,,,,,,,,,,,,,,,,,,,
,,, Foundation depth (From N.G.L to founding depth) ," 1,000 ",,mm,,,,,,,,,,,,,,,,,,,,,
,,, Footings uder 115 mm walls , 230 ,,mm,,,,,,,,,,,,,,,,,,,,,
,,, N.G.L up to D.P.C , 150 ,,mm,,,,,,,,,,,,,,,,,,,,,
,,, Brickforce after every , 3 ,,rd Course,,,,,,,,,,,,,,,,,,,,,
,,,Hardcore,150,,mm,,,,,,,,,,,,,,,,,,,,,
